"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","serine family amino acid metabolic process","GO:0009069","false","0.08282283047575958","1.0818499315371146","18","43","1","39530","LOC111111318"
"GO:BP","pyruvate metabolic process","GO:0006090","false","0.08765217376679993","1.0572373089687053","20","43","1","39530","LOC111132341"
"GO:BP","response to organonitrogen compound","GO:0010243","false","0.08765217376679993","1.0572373089687053","20","43","1","39530","LOC111135880"
"GO:BP","nucleoside diphosphate phosphorylation","GO:0006165","false","0.08789776917704964","1.0560221470694786","21","43","1","39530","LOC111132341"
"GO:BP","nucleotide phosphorylation","GO:0046939","false","0.08789776917704964","1.0560221470694786","21","43","1","39530","LOC111132341"
"GO:BP","response to nitrogen compound","GO:1901698","false","0.09003386191883853","1.0455941207977326","22","43","1","39530","LOC111135880"
"GO:BP","nucleoside diphosphate metabolic process","GO:0009132","false","0.09404680909188871","1.0266559350130597","25","43","1","39530","LOC111132341"
"GO:BP","carbohydrate catabolic process","GO:0016052","false","0.09404680909188871","1.0266559350130597","25","43","1","39530","LOC111132341"
"GO:BP","organonitrogen compound catabolic process","GO:1901565","false","0.09404680909188871","1.0266559350130597","234","43","2","39530","LOC111119483,LOC111135880"
"GO:BP","cellular lipid metabolic process","GO:0044255","false","0.09404680909188871","1.0266559350130597","229","43","2","39530","LOC111122333,LOC111103307"
"GO:BP","ATP metabolic process","GO:0046034","false","0.09939967505093178","1.002615035359406","27","43","1","39530","LOC111132341"
"GO:CC","transferase complex","GO:1990234","false","0.008049582595497417","2.0942266390323905","172","43","3","39530","LOC111135880,LOC111103307,LOC111104148"
"GO:CC","dehydrodolichyl diphosphate synthase complex","GO:1904423","false","0.008049582595497417","2.0942266390323905","1","43","1","39530","LOC111103307"
"GO:CC","catalytic complex","GO:1902494","true","0.008049582595497417","2.0942266390323905","397","43","4","39530","LOC111135880,LOC111132341,LOC111103307,LOC111104148"
"GO:CC","ESC/E(Z) complex","GO:0035098","false","0.008049582595497417","2.0942266390323905","1","43","1","39530","LOC111104148"
"GO:CC","PcG protein complex","GO:0031519","false","0.008049582595497417","2.0942266390323905","1","43","1","39530","LOC111104148"
"GO:CC","phosphopyruvate hydratase complex","GO:0000015","false","0.013408843683662075","1.8726086720706372","2","43","1","39530","LOC111132341"
"GO:CC","histone methyltransferase complex","GO:0035097","false","0.09691838462470712","1.013593833024238","17","43","1","39530","LOC111104148"
"GO:CC","methyltransferase complex","GO:0034708","false","0.09729373522911947","1.011915123174783","21","43","1","39530","LOC111104148"
"GO:CC","cytosol","GO:0005829","false","0.09729373522911947","1.011915123174783","22","43","1","39530","LOC111132341"
